date,close,open,high,low,volume_m,price_range,month,quarter
2021-04-12,55.27799987792969,55.10499954223633,55.79800033569336,54.95800018310547,29.44,0.84,4,2
2021-04-13,55.37300109863281,55.70000076293945,55.974998474121094,55.029998779296875,27.2,0.94,4,2
2021-04-14,54.00199890136719,55.48699951171875,55.48699951171875,53.85300064086914,37.4,1.63,4,2
2021-04-15,54.922000885009766,54.41699981689453,55.3489990234375,54.26599884033203,31.39,1.08,4,2
2021-04-16,54.65399932861328,55.05400085449219,55.198001861572266,53.95100021362305,32.09,1.25,4,2
2021-04-19,55.444000244140625,54.689998626708984,55.64400100708008,54.553001403808594,42.89,1.09,4,2
2021-04-20,54.957000732421875,55.44200134277344,56.35599899291992,54.630001068115234,112.58,1.73,4,2
2021-04-21,50.88999938964844,50.79999923706055,51.54600143432617,50.36000061035156,228.97,1.19,4,2
2021-04-22,50.87799835205078,51.38199996948242,51.395999908447266,50.05500030517578,90.61,1.34,4,2
2021-04-23,50.55500030517578,50.9010009765625,50.970001220703125,50.06999969482422,73.08,0.9,4,2
2021-04-26,51.029998779296875,50.67599868774414,51.04800033569336,50.29999923706055,43.89,0.75,4,2
2021-04-27,50.55500030517578,51.262001037597656,51.29899978637695,50.45800018310547,37.61,0.84,4,2
2021-04-28,50.652000427246094,50.52000045776367,50.84000015258789,50.33399963378906,31.93,0.51,4,2
2021-04-29,50.900001525878906,50.7599983215332,50.92900085449219,49.900001525878906,51.28,1.03,4,2
2021-04-30,51.34700012207031,50.5,51.45500183105469,50.5,44.13,0.96,4,2
2021-05-03,50.9109992980957,51.26499938964844,51.89500045776367,50.52000045776367,40.92,1.38,5,2
2021-05-04,50.31800079345703,51.077999114990234,51.16299819946289,49.67900085449219,43.5,1.48,5,2
2021-05-05,49.608001708984375,50.499000549316406,50.77799987792969,49.4630012512207,31.29,1.31,5,2
2021-05-06,49.95500183105469,49.5989990234375,49.95500183105469,49.137001037597656,37.84,0.82,5,2
2021-05-07,50.38399887084961,50.46200180053711,50.85499954223633,50.11199951171875,31.33,0.74,5,2
2021-05-10,48.66899871826172,50.20000076293945,50.314998626708984,48.611000061035156,51.32,1.7,5,2
2021-05-11,49.507999420166016,47.974998474121094,49.79899978637695,47.862998962402344,44.01,1.94,5,2
2021-05-12,48.49800109863281,48.68299865722656,49.354000091552734,48.27000045776367,41.22,1.08,5,2
2021-05-13,48.66600036621094,48.91299819946289,49.077999114990234,48.270999908447266,27.12,0.81,5,2
2021-05-14,49.33700180053711,48.7859992980957,49.48500061035156,48.659000396728516,28.82,0.83,5,2
2021-05-17,48.89400100708008,48.558998107910156,49.270999908447266,48.28099822998047,27.05,0.99,5,2
2021-05-18,48.62799835205078,48.84000015258789,49.347999572753906,48.61899948120117,23.5,0.73,5,2
2021-05-19,48.77000045776367,48.16299819946289,48.856998443603516,47.854000091552734,33.5,1.0,5,2
2021-05-20,50.16699981689453,48.95500183105469,50.27000045776367,48.89799880981445,37.21,1.37,5,2
2021-05-21,49.78900146484375,50.3120002746582,50.540000915527344,49.72600173950195,33.23,0.81,5,2
2021-05-24,50.290000915527344,50.10499954223633,50.42499923706055,49.95100021362305,24.13,0.47,5,2
2021-05-25,50.13399887084961,50.599998474121094,50.637001037597656,49.922000885009766,27.0,0.72,5,2
2021-05-26,50.236000061035156,50.23400115966797,50.41400146484375,50.04999923706055,24.65,0.36,5,2
2021-05-27,50.38600158691406,50.18000030517578,50.5099983215332,49.854000091552734,32.54,0.66,5,2
2021-05-28,50.28099822998047,50.439998626708984,51.17599868774414,50.25299835205078,29.1,0.92,5,2
2021-06-01,49.90800094604492,50.4010009765625,50.54100036621094,49.77399826049805,24.83,0.77,6,2
2021-06-02,49.92399978637695,49.981998443603516,50.321998596191406,49.582000732421875,22.69,0.74,6,2
2021-06-03,48.94300079345703,49.51900100708008,49.66600036621094,48.724998474121094,38.87,0.94,6,2
2021-06-04,49.4739990234375,49.20000076293945,50.18600082397461,49.095001220703125,31.6,1.09,6,2
2021-06-07,49.465999603271484,49.29199981689453,49.66999816894531,49.05500030517578,27.92,0.61,6,2
2021-06-08,49.23899841308594,49.70000076293945,49.88199996948242,48.9370002746582,23.74,0.94,6,2
2021-06-09,48.58100128173828,49.45000076293945,49.60900115966797,48.46500015258789,30.55,1.14,6,2
2021-06-10,48.72700119018555,48.71699905395508,49.020999908447266,48.2140007019043,43.83,0.81,6,2
2021-06-11,48.87699890136719,49.0,49.14099884033203,48.77799987792969,31.24,0.36,6,2
2021-06-14,49.98899841308594,48.96799850463867,50.349998474121094,48.691001892089844,44.0,1.66,6,2
2021-06-15,49.189998626708984,50.12300109863281,50.12300109863281,49.040000915527344,31.04,1.08,6,2
2021-06-16,49.24100112915039,49.5,49.645999908447266,48.62799835205078,35.33,1.02,6,2
2021-06-17,49.83399963378906,49.025001525878906,50.18000030517578,49.01499938964844,31.98,1.17,6,2
2021-06-18,50.07699966430664,49.63999938964844,50.44900131225586,49.52399826049805,51.98,0.93,6,2
2021-06-21,49.70000076293945,50.16400146484375,50.20500183105469,49.22800064086914,52.77,0.98,6,2
2021-06-22,50.88199996948242,49.854000091552734,51.35499954223633,49.58000183105469,58.09,1.77,6,2
2021-06-23,51.27399826049805,50.847999572753906,51.66299819946289,50.81999969482422,39.45,0.84,6,2
2021-06-24,51.805999755859375,51.79600143432617,52.09600067138672,51.439998626708984,33.61,0.66,6,2
2021-06-25,52.707000732421875,52.88399887084961,53.305999755859375,52.5,52.99,0.81,6,2
2021-06-28,53.303001403808594,52.8120002746582,53.39400100708008,52.45600128173828,28.2,0.94,6,2
2021-06-29,53.349998474121094,53.35499954223633,53.612998962402344,52.856998443603516,23.15,0.76,6,2
2021-06-30,52.82099914550781,53.40599822998047,53.4379997253418,52.68199920654297,27.73,0.76,6,2
2021-07-01,53.354000091552734,52.571998596191406,53.70399856567383,52.571998596191406,28.05,1.13,7,3
2021-07-02,53.39799880981445,53.54999923706055,53.854000091552734,52.93899917602539,19.76,0.92,7,3
2021-07-06,54.16400146484375,53.29999923706055,54.2859992980957,53.29999923706055,27.75,0.99,7,3
2021-07-07,53.59600067138672,54.42399978637695,54.4640007019043,53.16600036621094,27.22,1.3,7,3
2021-07-08,53.07600021362305,53.09299850463867,53.54999923706055,52.909000396728516,32.69,0.64,7,3
2021-07-09,53.597999572753906,53.099998474121094,53.82600021362305,52.858001708984375,27.77,0.97,7,3
2021-07-12,53.73099899291992,54.029998779296875,54.064998626708984,53.29199981689453,17.81,0.77,7,3
2021-07-13,54.06800079345703,53.57600021362305,54.53300094604492,53.57600021362305,27.52,0.96,7,3
2021-07-14,54.79499816894531,54.10100173950195,55.40999984741211,54.10100173950195,46.6,1.31,7,3
2021-07-15,54.29499816894531,55.39699935913086,55.75400161743164,53.81999969482422,57.14,1.93,7,3
2021-07-16,53.03099822998047,54.180999755859375,54.40599822998047,52.70500183105469,34.42,1.7,7,3
2021-07-19,53.22800064086914,52.60499954223633,53.49100112915039,52.2239990234375,38.86,1.27,7,3
2021-07-20,53.10499954223633,52.606998443603516,53.66400146484375,52.029998779296875,69.3,1.63,7,3
2021-07-21,51.362998962402344,52.612998962402344,53.0989990234375,50.56100082397461,119.07,2.54,7,3
2021-07-22,51.176998138427734,51.020999908447266,51.36800003051758,50.70000076293945,43.28,0.67,7,3
2021-07-23,51.54100036621094,51.215999603271484,51.74100112915039,50.465999603271484,38.2,1.28,7,3
2021-07-26,51.64899826049805,51.4379997253418,52.112998962402344,50.9010009765625,22.54,1.21,7,3
2021-07-27,51.89099884033203,51.80799865722656,52.19499969482422,51.20500183105469,27.59,0.99,7,3
2021-07-28,51.93000030517578,52.18199920654297,52.446998596191406,51.698001861572266,23.9,0.75,7,3
2021-07-29,51.42499923706055,51.99599838256836,52.077999114990234,51.37900161743164,17.36,0.7,7,3
2021-07-30,51.75699996948242,51.26900100708008,51.979000091552734,51.09600067138672,25.37,0.88,7,3
2021-08-02,51.51499938964844,51.900001525878906,51.98500061035156,51.05099868774414,20.97,0.93,8,3
2021-08-03,51.082000732421875,51.43899917602539,51.5629997253418,50.5369987487793,25.79,1.03,8,3
2021-08-04,51.73500061035156,51.29999923706055,51.79800033569336,51.0369987487793,20.39,0.76,8,3
2021-08-05,52.48899841308594,51.7130012512207,52.54100036621094,51.402000427246094,25.57,1.14,8,3
2021-08-06,52.05500030517578,52.400001525878906,52.683998107910156,51.93899917602539,19.2,0.74,8,3
2021-08-09,51.99700164794922,52.1150016784668,52.266998291015625,51.79899978637695,13.68,0.47,8,3
2021-08-10,51.58399963378906,52.0,52.07899856567383,51.297000885009766,19.6,0.78,8,3
